user_id,quality_control_rate,avg_price_rating,avg_recommend_likelihood,avg_suggested_price,avg_ease_of_use,avg_feature_satisfaction,total_reviews,correct_year
U1001,1.0,4.0,8.0,249.99,5.0,4.0,1,1.0
U1002,1.0,5.0,8.5,134.99,4.5,5.0,2,1.0
U1003,0.0,3.0,6.0,199.99,4.0,4.0,1,0.0
U1004,1.0,4.0,7.0,89.99,5.0,3.0,1,1.0
U1005,0.0,2.0,4.0,59.99,3.0,2.0,1,1.0
U1006,1.0,5.0,9.0,299.99,5.0,5.0,1,0.0
U1007,0.0,3.0,5.0,79.99,4.0,3.0,1,1.0
U1008,1.0,4.5,7.5,97.49,4.5,4.5,2,1.0
U1009,1.0,4.0,8.0,119.99,5.0,4.0,1,1.0
U1010,1.0,5.0,8.0,99.99,4.0,4.0,1,1.0
U1011,0.0,2.0,4.0,69.99,3.0,2.0,1,1.0
U1012,1.0,4.0,7.0,229.99,4.0,4.0,1,1.0
U1013,1.0,5.0,9.0,134.99,5.0,5.0,1,1.0
U1014,0.0,4.0,6.0,89.99,4.0,3.0,1,1.0
U1015,1.0,5.0,9.0,279.99,5.0,5.0,1,1.0
U1016,0.0,3.0,5.0,79.99,4.0,3.0,1,1.0
U1017,1.0,4.0,7.0,124.99,5.0,4.0,1,1.0
U1018,0.0,3.0,6.0,219.99,4.0,3.0,1,1.0
U1019,1.0,4.0,8.0,94.99,5.0,4.0,1,1.0
U1020,1.0,5.0,9.0,139.99,5.0,5.0,1,1.0
U1021,0.0,3.0,5.0,74.99,3.0,3.0,1,0.0
U1022,1.0,4.0,7.0,259.99,4.0,4.0,1,1.0
U1023,1.0,5.0,8.0,99.99,5.0,4.0,1,1.0
U1024,1.0,4.0,8.0,129.99,4.0,4.0,1,1.0
U1025,1.0,4.0,7.0,89.99,4.0,4.0,1,1.0
U1026,0.0,3.0,5.0,209.99,3.0,3.0,1,1.0
U1027,1.0,5.0,9.0,104.99,5.0,5.0,1,1.0
U1028,1.0,4.0,7.0,84.99,4.0,4.0,1,1.0
